ion,NM1,NM2,NM3,NM4,NM5,NM6,De
f,490,637,1274,1781,2365,3915,-28.656095443017964
cl,199,356,793,1713,3405,3929,-15.219459737565558
br,157,303,720,1704,3525,3921,-13.235518686862399
i,128,220,631,1691,3610,3906,-11.248287037421267
li,355,559,605,1687,3622,3767,-34.77854035432583
na,237,321,445,1685,3706,3828,-24.3470750443004
k,225,288,378,1683,3751,3862,-17.62321930906405
rb,188,292,350,1681,3764,3872,-15.486415478908766
cs,163,289,333,1680,3773,3881,-13.832064747843825
